Sucun_Islendigi_Il,Yil,Cinsiyet,Oldurme,Yaralama,Cinsel_Suclar,Kisiyi_Hurriyetinden_Yoksun_Kilma,Hakaret,Hirsizlik,Uyusturucu_Madde_Imal_ve_Ticareti,Uyusturucu_Madde_Kullanma_Satin_Alma,Kotu_Muamele,Kacakcilik,Silah_ve_Bicakli_Suclar,Tehdit
Erzurum,2014,Kadın,1,4,0,1,2,9,3,0,0,1,2,3
Erzincan,2014,Erkek,29,77,19,5,14,101,35,7,0,14,4,29
Erzincan,2014,Kadın,1,1,0,0,2,6,1,0,0,0,0,0
Bayburt ,2014,Erkek,7,11,3,2,2,21,5,2,0,2,4,4
Bayburt ,2014,Kadın,0,1,0,0,0,0,0,0,0,0,0,0
Ağri,2014,Erkek,62,99,13,10,6,78,60,5,0,63,23,38
Ağri,2014,Kadın,0,1,0,0,0,0,9,0,0,1,0,0
Kars,2014,Erkek,55,134,16,16,22,60,14,10,0,28,30,39
Kars,2014,Kadın,1,3,0,1,0,2,1,0,0,0,0,0
Igdir,2014,Erkek,20,107,18,17,5,45,17,17,0,17,12,22
Igdir,2014,Kadın,0,2,1,0,0,2,0,0,0,0,0,0
Ardahan,2014,Erkek,12,66,4,14,9,35,0,0,0,1,5,13
Ardahan,2014,Kadın,0,0,0,0,0,1,0,0,0,0,0,0
Malatya,2014,Erkek,91,174,51,11,34,251,136,20,0,33,62,39
Malatya,2014,Kadın,4,3,2,1,2,25,2,0,0,0,0,0
Elazig,2014,Erkek,82,241,27,15,16,211,228,15,0,85,48,48
Elazig,2014,Kadın,2,1,0,0,1,16,3,0,0,0,1,0
Bingol,2014,Erkek,16,65,8,13,8,52,50,8,0,9,13,20
Bingol,2014,Kadın,1,0,0,1,0,2,1,0,0,0,0,0
Tunceli,2014,Erkek,7,38,4,3,5,17,4,0,0,0,1,9
Tunceli,2014,Kadın,0,0,0,0,0,2,0,0,0,0,0,0
Van,2014,Erkek,62,105,23,10,12,135,205,11,0,159,33,24
Van,2014,Kadın,2,1,0,0,1,4,2,0,0,1,0,1
Mus,2014,Erkek,36,44,6,3,4,64,25,4,0,16,17,11
Mus,2014,Kadın,0,0,0,0,0,6,1,0,0,0,0,0
Bitlis,2014,Erkek,24,61,1,9,8,62,41,4,0,26,12,17
Bitlis,2014,Kadın,0,0,0,0,0,5,1,0,0,0,0,0
Hakkari,2014,Erkek,15,16,2,3,0,19,72,0,2,24,6,2
Hakkari,2014,Kadın,1,0,0,0,0,1,2,0,0,0,0,0
Gaziantep,2014,Erkek,269,679,92,60,61,799,354,81,1,160,201,132
Gaziantep,2014,Kadın,3,10,0,3,0,33,2,3,0,0,2,2
Adiyaman,2014,Erkek,38,67,10,7,10,107,48,11,0,26,23,21
Adiyaman,2014,Kadın,0,0,0,0,0,9,0,0,0,0,0,0
Kilis,2014,Erkek,14,41,13,2,3,44,50,7,0,48,8,5
Kilis,2014,Kadın,1,0,0,0,0,1,0,0,0,0,0,0
Sanliurfa,2014,Erkek,118,232,43,36,13,284,393,35,0,78,77,56
Sanliurfa,2014,Kadın,2,2,0,0,1,13,4,0,0,0,0,0
Diyarbakır,2014,Erkek,182,233,40,40,15,460,694,20,0,92,120,39
Diyarbakır,2014,Kadın,2,4,3,1,0,6,13,1,0,1,0,2
Mardin,2014,Erkek,56,84,47,20,13,123,103,29,1,36,64,26
Mardin,2014,Kadın,1,2,1,2,0,7,0,1,0,1,0,0
Batman,2014,Erkek,26,86,11,5,7,139,66,2,0,17,18,14
Batman,2014,Kadın,0,0,0,0,0,14,0,0,0,0,0,0
Sirnak,2014,Erkek,23,25,6,6,2,46,15,3,0,61,15,2
Sirnak,2014,Kadın,1,0,0,0,0,5,0,0,0,1,1,0
Siirt,2014,Erkek,28,32,15,6,5,43,21,6,0,8,6,7
Siirt,2014,Kadın,0,1,0,0,0,2,0,0,0,0,0,0
Istanbul ,2013,Erkek,818,2097,323,143,179,2977,2086,734,12,96,1271,218
Istanbul ,2013,Kadın,11,36,1,0,12,191,51,4,0,0,8,4
Tekirdag,2013,Erkek,99,316,52,31,35,262,48,10,0,12,69,60
Tekirdag,2013,Kadın,1,3,0,1,1,14,3,0,0,0,0,1
Edirne,2013,Erkek,49,202,35,13,33,147,78,6,0,22,28,57
Edirne,2013,Kadın,1,7,1,0,0,8,6,0,0,1,0,1
Kirklareli ,2013,Erkek,41,168,30,6,21,96,36,4,0,46,22,40
Kirklareli ,2013,Kadın,0,5,0,0,0,8,0,0,0,0,0,0
Balikesir                  ,2013,Erkek,163,775,125,63,112,460,64,22,2,29,222,194
Balikesir                  ,2013,Kadın,3,14,1,7,6,51,4,2,0,0,2,5
Canakkale,2013,Erkek,50,259,46,26,33,171,15,7,3,23,49,105
Canakkale,2013,Kadın,1,9,0,4,2,8,0,0,0,0,0,0
İzmir ,2013,Erkek,440,1872,292,160,258,2279,591,402,4,209,593,399
İzmir ,2013,Kadın,10,39,8,3,12,166,37,6,0,1,3,3
Aydin,2013,Erkek,130,796,102,52,128,445,79,26,1,47,144,174
Aydin,2013,Kadın,3,24,2,1,5,35,10,1,0,0,0,6
Denizli ,2013,Erkek,128,666,91,67,129,369,41,28,1,23,170,160
Denizli ,2013,Kadın,4,9,1,5,7,28,4,1,0,0,1,2
Mugla,2013,Erkek,110,638,95,38,75,304,51,17,3,31,83,99
Mugla,2013,Kadın,6,10,0,1,5,16,2,0,0,0,0,2
Manisa,2013,Erkek,155,1031,135,88,107,548,203,44,2,68,171,177
Manisa,2013,Kadın,1,24,3,6,10,37,6,1,0,0,1,2
Afyonkarahisar  ,2013,Erkek,100,323,67,46,40,152,23,4,0,22,72,70
Afyonkarahisar  ,2013,Kadın,5,12,2,2,3,8,1,0,0,0,2,0
Kutahya ,2013,Erkek,29,281,43,16,23,184,15,2,0,10,37,76
Kutahya ,2013,Kadın,3,5,2,0,3,16,1,0,0,0,1,1
Usak,2013,Erkek,50,241,34,16,35,141,30,10,0,18,53,61
Usak,2013,Kadın,4,2,0,1,0,9,1,0,0,0,0,0
Bursa,2013,Erkek,168,909,129,79,112,833,169,45,3,37,332,155
Bursa,2013,Kadın,3,14,1,2,5,76,31,1,1,0,1,2
Eskisehir                 ,2013,Erkek,45,526,20,17,64,250,27,14,5,10,69,68
Eskisehir                 ,2013,Kadın,2,22,0,0,7,16,4,0,0,0,1,0
Bilecik,2013,Erkek,12,105,20,14,17,72,5,6,0,8,16,21
Bilecik,2013,Kadın,0,1,0,0,0,0,0,0,0,0,0,0
Kocaeli ,2013,Erkek,146,517,109,41,83,481,106,45,2,31,197,66
Kocaeli ,2013,Kadın,4,18,1,1,1,39,4,0,0,1,1,1
Sakarya,2013,Erkek,76,406,58,29,78,228,61,26,3,33,150,89
Sakarya,2013,Kadın,2,10,0,0,2,23,2,0,0,0,0,3
Duzce,2013,Erkek,55,198,38,32,23,98,37,2,3,20,56,35
Duzce,2013,Kadın,2,4,0,0,1,6,1,0,0,0,0,2
Bolu,2013,Erkek,34,203,18,20,33,80,13,2,5,2,36,25
Bolu,2013,Kadın,0,11,0,4,1,11,1,0,0,0,0,0
Yalova,2013,Erkek,19,103,10,3,15,59,20,4,0,1,16,12
Yalova,2013,Kadın,2,2,0,0,2,3,1,0,0,0,0,0
Ankara ,2013,Erkek,282,1467,194,107,135,1239,213,98,0,55,358,251
Ankara ,2013,Kadın,8,24,0,1,5,108,13,3,0,0,2,4
Konya,2013,Erkek,140,1031,93,56,95,555,106,51,5,39,176,179
Konya,2013,Kadın,5,15,3,2,5,48,8,2,0,0,1,4
Karaman,2013,Erkek,26,197,21,13,21,72,21,1,1,9,20,35
Karaman,2013,Kadın,0,2,0,0,0,0,5,0,0,0,0,0
Antalya,2013,Erkek,221,1174,184,134,145,1044,370,74,2,61,247,221
Antalya,2013,Kadın,7,34,3,3,5,66,35,3,0,0,2,4
Isparta,2013,Erkek,41,226,25,19,24,118,29,5,0,3,32,61
Isparta,2013,Kadın,0,10,0,1,2,18,1,0,0,0,0,0
Burdur,2013,Erkek,26,192,20,15,28,55,7,0,0,26,20,37
Burdur,2013,Kadın,1,9,0,0,2,13,0,0,0,0,0,0
Adana,2013,Erkek,206,1014,108,74,116,838,650,311,12,161,461,150
Adana,2013,Kadın,7,32,4,4,7,45,26,6,6,0,0,1
Mersin,2013,Erkek,215,849,106,47,90,696,315,97,4,81,266,187
Mersin,2013,Kadın,4,12,1,3,5,37,7,5,0,1,3,3
Hatay,2013,Erkek,105,458,46,30,43,348,234,58,0,345,129,72
Hatay,2013,Kadın,1,8,1,1,3,11,3,0,0,10,0,1
Kahramanmaras,2013,Erkek,48,464,61,39,41,240,45,53,1,55,118,101
Kahramanmaras,2013,Kadın,1,5,2,1,4,14,1,0,0,1,0,0
Osmaniye,2013,Erkek,46,212,28,25,22,142,111,29,1,54,53,45
Osmaniye,2013,Kadın,2,5,3,1,0,6,3,2,0,0,0,2
Kirikkale,2013,Erkek,27,137,21,8,5,73,11,3,2,3,33,23
Kirikkale,2013,Kadın,2,0,0,0,0,7,0,0,0,2,1,0
Aksaray,2013,Erkek,34,111,22,17,11,71,50,9,0,5,27,33
Aksaray,2013,Kadın,0,10,0,0,1,5,1,0,0,0,2,0
Nigde,2013,Erkek,45,218,33,20,40,76,16,7,0,5,37,35
Nigde,2013,Kadın,0,6,0,0,2,5,1,0,0,0,0,0
Nevsehir,2013,Erkek,30,184,39,11,29,55,15,9,2,8,48,45
Nevsehir,2013,Kadın,2,3,0,0,1,9,1,0,0,0,0,1
Kirsehir,2013,Erkek,20,89,22,6,15,52,12,0,0,6,16,32
Kirsehir,2013,Kadın,0,3,0,1,0,1,0,0,0,0,0,0
Kayseri,2013,Erkek,115,894,88,42,83,391,121,21,0,15,219,102
Kayseri,2013,Kadın,4,18,3,1,1,67,5,2,0,0,2,5
Sivas,2013,Erkek,40,253,26,18,35,85,55,2,0,5,50,41
Sivas,2013,Kadın,0,10,0,0,0,6,1,0,0,0,0,3
Yozgat,2013,Erkek,42,164,26,10,17,80,21,5,1,8,20,45
Yozgat,2013,Kadın,2,3,0,0,0,14,0,0,0,0,0,3
Zonguldak,2013,Erkek,45,415,81,36,54,149,39,3,0,9,65,102
Zonguldak,2013,Kadın,2,18,3,3,2,12,0,0,0,0,1,2
Karabuk,2013,Erkek,18,127,21,5,32,39,10,3,0,5,9,26
Karabuk,2013,Kadın,0,2,0,1,2,2,1,0,0,0,0,3
Bartin,2013,Erkek,11,120,23,16,18,21,3,1,0,1,11,28
Bartin,2013,Kadın,1,3,1,0,3,3,1,0,0,0,0,0
Kastamonu,2013,Erkek,58,152,40,23,31,37,24,3,0,13,54,50
Kastamonu,2013,Kadın,1,8,0,0,0,7,1,0,0,0,0,1
Cankiri,2013,Erkek,9,83,8,9,12,32,2,1,0,1,9,17
Cankiri,2013,Kadın,1,2,0,0,0,4,0,0,0,0,0,0
Sinop,2013,Erkek,24,91,30,17,11,43,12,0,0,3,26,21
Sinop,2013,Kadın,1,6,0,0,3,2,0,0,0,0,0,1
Samsun,2013,Erkek,130,522,108,76,83,314,86,25,0,42,301,157
Samsun,2013,Kadın,4,7,4,0,5,35,1,0,0,2,1,2
Tokat,2013,Erkek,36,261,33,26,42,114,11,4,1,19,84,69
Tokat,2013,Kadın,0,4,3,2,2,8,0,0,0,0,0,0
Corum,2013,Erkek,58,247,75,27,39,151,9,4,0,12,58,74
Corum,2013,Kadın,2,5,3,0,1,10,0,1,0,0,0,0
Amasya,2013,Erkek,32,140,26,23,25,84,6,2,0,3,26,44
Amasya,2013,Kadın,1,2,2,0,0,0,0,0,0,0,3,1
Trabzon,2013,Erkek,59,369,29,27,61,115,26,12,0,32,152,81
Trabzon,2013,Kadın,0,7,1,0,0,7,0,0,0,0,0,3
Ordu,2013,Erkek,65,422,75,53,51,116,31,2,0,12,122,51
Ordu,2013,Kadın,1,10,0,4,1,13,1,0,0,0,4,4
Giresun,2013,Erkek,60,285,40,13,48,69,14,1,3,6,78,57
Giresun,2013,Kadın,2,13,0,0,6,4,0,0,0,0,1,2
Rize,2013,Erkek,26,91,19,11,21,68,9,3,0,13,52,27
Rize,2013,Kadın,0,8,0,0,2,2,0,0,0,0,0,0
Artvin,2013,Erkek,9,57,9,4,7,18,9,1,0,23,28,7
Artvin,2013,Kadın,0,1,0,0,0,3,0,0,0,1,0,0
Gumushane,2013,Erkek,7,65,8,4,13,15,3,2,0,1,24,16
Gumushane,2013,Kadın,3,4,0,2,0,1,0,0,0,0,0,0
Erzurum,2013,Erkek,74,336,39,21,24,137,57,6,1,11,64,42
Erzurum,2013,Kadın,2,3,0,0,0,2,1,0,0,1,0,0
Erzincan,2013,Erkek,14,76,16,7,14,68,10,8,1,8,13,40
Erzincan,2013,Kadın,0,1,0,0,0,5,0,0,0,0,0,0
Bayburt ,2013,Erkek,5,30,3,0,9,12,0,0,0,2,9,10
Ağri,2013,Erkek,69,129,16,15,13,74,84,3,0,66,26,23
Ağri,2013,Kadın,1,0,0,2,0,2,13,0,0,3,0,0
Kars,2013,Erkek,32,175,10,8,17,49,7,8,2,15,71,33
Kars,2013,Kadın,0,4,0,0,1,1,0,0,0,0,0,0
Igdir,2013,Erkek,15,126,9,8,15,20,9,11,0,14,22,11
Igdir,2013,Kadın,0,2,0,0,0,0,0,1,0,0,0,0
Ardahan,2013,Erkek,8,112,5,7,19,17,2,0,0,5,20,9
Ardahan,2013,Kadın,0,3,0,0,1,0,0,0,0,0,1,0
Malatya,2013,Erkek,72,304,41,6,23,202,137,6,0,31,88,33
Malatya,2013,Kadın,1,3,2,0,0,21,1,0,0,0,0,0
Elazig,2013,Erkek,78,295,33,18,31,131,203,17,0,45,83,19
Elazig,2013,Kadın,2,0,0,0,0,16,3,0,0,0,1,2
Bingol,2013,Erkek,14,129,2,10,10,42,58,9,0,20,20,11
Bingol,2013,Kadın,0,1,0,0,0,1,1,0,0,0,0,0
Tunceli,2013,Erkek,2,61,8,1,7,19,4,5,0,1,6,10
Tunceli,2013,Kadın,0,1,0,0,0,3,0,1,0,0,0,0
Van,2013,Erkek,42,111,20,9,15,79,183,10,0,314,62,23
Van,2013,Kadın,2,0,0,0,0,5,3,0,0,0,0,0
Mus,2013,Erkek,19,44,3,5,2,41,31,3,0,2,32,10
Mus,2013,Kadın,1,0,0,0,0,1,0,0,0,1,0,0
Bitlis,2013,Erkek,25,91,7,5,10,37,37,1,0,33,22,5
Bitlis,2013,Kadın,1,0,0,0,0,0,1,0,0,0,0,0
Hakkari,2013,Erkek,8,21,6,3,3,10,54,2,0,30,12,1
Hakkari,2013,Kadın,1,0,0,0,0,1,1,0,0,0,0,0
Gaziantep,2013,Erkek,212,645,54,45,42,696,283,74,0,104,362,86
Gaziantep,2013,Kadın,1,14,2,2,3,21,3,1,0,0,1,1
Adiyaman,2013,Erkek,25,151,6,4,8,82,32,2,0,16,47,21
Adiyaman,2013,Kadın,1,3,1,0,0,1,1,0,0,0,0,0
Kilis,2013,Erkek,11,62,6,2,8,32,27,10,1,55,16,6
Kilis,2013,Kadın,1,1,0,0,0,1,2,0,0,1,0,0
Sanliurfa,2013,Erkek,138,320,42,28,29,235,290,24,0,71,154,54
Sanliurfa,2013,Kadın,1,9,0,0,0,5,3,2,0,0,1,2
Diyarbakır,2013,Erkek,143,324,30,20,25,353,683,29,0,97,357,47
Diyarbakır,2013,Kadın,3,1,0,0,0,4,8,0,0,0,2,1
Mardin,2013,Erkek,51,83,31,10,6,95,68,26,0,50,52,11
Mardin,2013,Kadın,1,1,0,0,0,5,0,0,1,0,0,0
Batman,2013,Erkek,12,70,5,7,5,108,65,4,0,27,44,5
Batman,2013,Kadın,0,0,0,0,0,7,1,0,0,0,0,0
Sirnak,2013,Erkek,24,20,8,2,2,41,17,2,1,33,33,2
Sirnak,2013,Kadın,0,0,0,0,0,3,0,0,0,0,0,0
Siirt,2013,Erkek,16,52,18,8,2,45,14,9,0,14,13,8
Siirt,2013,Kadın,0,1,0,0,1,0,0,0,0,0,0,0
Istanbul ,2012,Erkek,1027,1306,256,66,82,1938,339,1879,573,5,6,373
Istanbul ,2012,Kadın,8,27,2,1,10,120,10,57,20,1,0,0
Tekirdag,2012,Erkek,68,237,30,12,20,144,12,26,23,3,0,143
Tekirdag,2012,Kadın,6,2,0,0,2,10,2,0,1,0,0,0
Edirne,2012,Erkek,34,126,26,5,17,87,10,60,16,0,1,81
Edirne,2012,Kadın,1,6,1,1,0,7,0,3,0,0,0,0
Kirklareli ,2012,Erkek,33,86,16,1,8,51,3,10,13,1,2,3
Kirklareli ,2012,Kadın,1,1,1,0,0,4,0,0,0,0,0,0
Balikesir                  ,2012,Erkek,133,435,68,34,64,232,30,50,54,0,12,5
Balikesir                  ,2012,Kadın,4,6,1,0,2,30,1,2,3,1,0,0
Canakkale,2012,Erkek,39,149,24,11,23,81,11,10,25,0,9,115
Canakkale,2012,Kadın,0,3,0,0,2,5,2,0,2,0,0,0
İzmir ,2012,Erkek,419,1082,142,62,145,947,181,418,291,4,12,277
İzmir ,2012,Kadın,12,15,1,0,4,48,10,13,12,1,0,0
Aydin,2012,Erkek,97,375,45,28,47,236,38,39,73,0,6,5
Aydin,2012,Kadın,4,16,1,1,3,9,2,2,1,0,0,0
Denizli ,2012,Erkek,121,283,46,27,49,165,54,23,82,3,2,0
Denizli ,2012,Kadın,6,2,2,2,1,10,2,2,0,0,0,0
Mugla,2012,Erkek,97,257,39,13,35,161,14,35,39,0,13,0
Mugla,2012,Kadın,3,4,0,1,4,10,1,0,0,0,1,0
Manisa,2012,Erkek,157,510,78,41,55,291,50,67,73,0,9,9
Manisa,2012,Kadın,2,3,2,1,2,9,3,0,3,1,0,0
Afyonkarahisar  ,2012,Erkek,112,206,51,25,18,75,20,11,38,0,2,3
Afyonkarahisar  ,2012,Kadın,6,4,0,1,1,5,2,0,3,0,0,0
Kutahya ,2012,Erkek,35,172,20,9,17,86,16,1,44,0,0,5
Kutahya ,2012,Kadın,1,2,0,0,0,3,0,0,2,0,0,0
Usak,2012,Erkek,67,117,23,7,16,40,14,9,23,0,2,1
Usak,2012,Kadın,1,4,0,0,0,1,0,0,0,0,0,0
Bursa,2012,Erkek,172,595,110,24,49,500,64,94,142,4,13,12
Bursa,2012,Kadın,4,9,0,0,3,29,6,11,6,0,0,0
Eskisehir                 ,2012,Erkek,55,255,21,3,54,169,31,32,74,0,3,82
Eskisehir                 ,2012,Kadın,2,9,0,0,4,10,1,0,8,0,0,0
Bilecik,2012,Erkek,25,60,13,8,8,34,5,3,11,0,6,1
Bilecik,2012,Kadın,1,2,0,0,2,0,1,0,0,0,0,0
Kocaeli ,2012,Erkek,146,351,45,14,33,202,34,52,73,0,5,142
Kocaeli ,2012,Kadın,3,4,1,0,0,18,2,1,4,0,0,1
Sakarya,2012,Erkek,99,155,32,13,28,113,17,19,36,0,68,4
Sakarya,2012,Kadın,6,3,0,0,0,18,1,0,1,0,0,0
Duzce,2012,Erkek,48,99,9,11,4,32,5,7,19,1,17,3
Duzce,2012,Kadın,1,0,0,0,0,3,0,0,0,0,0,0
Bolu,2012,Erkek,25,95,9,2,10,39,7,11,26,0,1,7
Bolu,2012,Kadın,1,3,0,1,0,5,2,0,2,0,0,0
Yalova,2012,Erkek,19,66,4,5,14,57,7,10,20,0,2,1
Yalova,2012,Kadın,0,3,1,0,0,6,0,1,1,0,0,0
Ankara ,2012,Erkek,279,788,87,39,54,640,170,230,293,3,0,406
Ankara ,2012,Kadın,9,16,0,1,4,53,11,4,10,0,0,0
Konya,2012,Erkek,109,433,58,14,47,283,45,44,108,0,6,19
Konya,2012,Kadın,6,11,2,0,2,13,4,1,4,0,0,0
Karaman,2012,Erkek,17,101,22,10,9,28,3,16,13,0,3,2
Karaman,2012,Kadın,1,0,0,0,1,1,0,0,0,0,0,0
Antalya,2012,Erkek,276,597,89,44,80,619,92,242,154,0,9,5
Antalya,2012,Kadın,6,13,1,1,3,27,3,17,3,0,0,0
Isparta,2012,Erkek,49,157,21,9,22,57,23,8,22,0,6,94
Isparta,2012,Kadın,1,2,0,0,1,4,2,1,0,0,0,0
Burdur,2012,Erkek,19,80,13,7,6,21,8,6,5,0,1,2
Burdur,2012,Kadın,1,0,0,0,0,2,1,0,0,0,0,0
Adana,2012,Erkek,231,547,57,26,53,435,75,466,173,3,3,158
Adana,2012,Kadın,5,13,1,0,2,12,6,26,5,0,0,0
Mersin,2012,Erkek,152,445,40,11,46,408,54,174,107,4,15,52
Mersin,2012,Kadın,9,6,1,0,3,21,3,3,6,0,0,0
Hatay,2012,Erkek,95,240,30,12,22,190,32,252,47,3,9,5
Hatay,2012,Kadın,0,9,0,1,0,5,1,1,3,0,0,0
Kahramanmaras,2012,Erkek,66,224,56,15,18,150,18,33,105,0,14,6
Kahramanmaras,2012,Kadın,0,2,2,0,0,4,1,0,2,0,0,0
Osmaniye,2012,Erkek,44,117,14,4,17,106,11,62,22,0,4,4
Osmaniye,2012,Kadın,0,3,1,0,0,1,0,4,2,0,0,0
Kirikkale,2012,Erkek,17,74,8,1,3,47,4,4,12,0,0,2
Kirikkale,2012,Kadın,0,2,0,0,0,2,0,0,0,0,0,0
Aksaray,2012,Erkek,30,56,8,8,5,49,6,11,25,0,0,0
Aksaray,2012,Kadın,2,1,1,0,0,4,0,1,0,0,0,0
Nigde,2012,Erkek,31,111,14,3,11,29,0,13,5,0,0,2
Nigde,2012,Kadın,3,2,1,0,0,1,0,0,0,0,0,0
Nevsehir,2012,Erkek,23,97,21,14,15,25,5,4,29,0,0,1
Nevsehir,2012,Kadın,1,0,1,0,1,7,2,0,3,0,0,0
Kirsehir,2012,Erkek,22,59,10,2,5,34,4,8,12,0,0,0
Kirsehir,2012,Kadın,1,0,1,0,1,2,0,0,1,0,0,0
Kayseri,2012,Erkek,76,332,61,21,36,240,22,91,84,0,0,10
Kayseri,2012,Kadın,2,7,3,2,1,35,2,3,4,0,0,0
Sivas,2012,Erkek,40,155,21,3,25,62,8,23,11,0,1,43
Sivas,2012,Kadın,1,2,0,0,1,4,0,0,0,0,0,0
Yozgat,2012,Erkek,31,83,16,9,8,43,7,11,23,0,5,3
Yozgat,2012,Kadın,1,0,0,0,0,0,0,0,0,0,0,0
Zonguldak,2012,Erkek,35,207,21,9,22,83,15,24,28,1,11,4
Zonguldak,2012,Kadın,2,3,0,0,0,4,0,0,2,0,1,0
Karabuk,2012,Erkek,17,53,5,4,8,33,9,4,7,0,0,0
Karabuk,2012,Kadın,1,2,0,0,0,4,0,0,0,0,0,0
Bartin,2012,Erkek,5,52,13,5,6,17,3,2,11,0,1,1
Bartin,2012,Kadın,0,1,0,1,1,0,1,0,0,0,0,0
Kastamonu,2012,Erkek,54,84,25,6,16,20,7,7,14,0,2,1
Kastamonu,2012,Kadın,4,2,0,0,2,0,0,0,1,0,0,0
Cankiri,2012,Erkek,19,35,6,4,3,15,1,0,7,1,1,2
Cankiri,2012,Kadın,1,1,0,0,1,0,0,0,1,0,0,0
Sinop,2012,Erkek,26,44,12,8,6,22,1,1,5,0,5,0
Samsun,2012,Erkek,145,229,62,31,29,150,23,48,55,0,21,6
Samsun,2012,Kadın,6,4,0,3,0,8,2,0,2,0,0,0
Tokat,2012,Erkek,37,125,28,5,20,60,11,11,24,1,28,0
Tokat,2012,Kadın,1,3,1,0,0,5,0,0,0,0,0,0
Corum,2012,Erkek,61,137,51,4,13,81,32,4,23,0,4,1
Corum,2012,Kadın,2,3,0,0,1,10,1,0,1,0,0,0
Amasya,2012,Erkek,44,83,12,7,14,26,4,3,11,0,0,4
Amasya,2012,Kadın,2,2,0,0,0,1,1,0,0,0,0,0
Trabzon,2012,Erkek,74,100,19,7,15,40,11,7,22,0,1,43
Trabzon,2012,Kadın,4,0,1,0,1,2,0,0,0,0,0,0
Ordu,2012,Erkek,43,186,30,13,28,56,7,9,24,0,7,1
Ordu,2012,Kadın,2,2,0,1,0,4,1,1,0,0,0,0
Giresun,2012,Erkek,44,105,23,8,13,28,12,3,12,0,4,2
Giresun,2012,Kadın,3,1,0,0,1,1,0,0,0,0,0,0
Rize,2012,Erkek,35,52,11,4,4,45,6,2,9,2,1,0
Rize,2012,Kadın,1,0,0,0,0,0,0,0,0,0,0,0
Artvin,2012,Erkek,11,20,2,1,2,9,0,2,3,0,5,1
Artvin,2012,Kadın,0,0,0,0,0,1,0,0,0,0,0,0
Gumushane,2012,Erkek,5,34,2,1,3,5,0,3,13,0,0,0
Gumushane,2012,Kadın,0,0,0,0,0,0,0,0,0,0,0,0
Erzurum,2012,Erkek,65,162,10,4,10,91,8,34,28,0,1,71
Erzurum,2012,Kadın,4,1,0,0,0,2,0,0,1,0,0,0
Erzincan,2012,Erkek,15,52,7,3,8,48,5,6,4,0,0,46
Erzincan,2012,Kadın,0,0,0,0,0,3,0,0,0,0,0,0
Bayburt ,2012,Erkek,2,17,2,3,4,6,1,0,2,0,0,0
Bayburt ,2012,Kadın,0,0,0,1,0,0,0,0,0,0,0,0
Ağri,2012,Erkek,46,60,13,0,6,29,4,37,9,0,0,110
Ağri,2012,Kadın,0,0,0,0,0,0,1,1,0,0,0,0
Kars,2012,Erkek,28,93,2,5,6,28,1,4,3,0,6,99
Kars,2012,Kadın,0,1,0,0,1,0,0,0,0,0,0,0
Igdir,2012,Erkek,18,31,3,2,2,8,0,8,5,0,0,3
Igdir,2012,Kadın,2,1,0,0,0,0,0,0,0,0,0,0
Ardahan,2012,Erkek,4,29,3,7,4,15,1,0,6,0,2,2
Malatya,2012,Erkek,57,142,11,1,7,104,13,88,19,0,3,33
Malatya,2012,Kadın,3,4,0,0,1,6,0,0,0,0,0,0
Elazig,2012,Erkek,55,131,5,9,14,53,10,110,20,1,1,103
Elazig,2012,Kadın,1,8,1,0,0,3,0,0,0,0,0,0
Bingol,2012,Erkek,12,33,3,10,3,38,0,27,9,1,2,4
Bingol,2012,Kadın,0,0,0,0,0,2,0,0,0,0,0,0
Tunceli,2012,Erkek,4,13,1,0,2,5,0,2,0,0,0,3
Tunceli,2012,Kadın,1,0,0,0,0,0,0,0,0,0,0,0
Van,2012,Erkek,60,35,3,3,3,41,2,131,17,4,0,112
Van,2012,Kadın,1,0,0,0,0,0,0,3,0,0,0,0
Mus,2012,Erkek,16,22,4,0,1,36,2,7,17,0,0,0
Mus,2012,Kadın,0,0,0,0,0,1,0,0,1,0,0,0
Bitlis,2012,Erkek,13,25,3,0,1,13,2,36,10,0,2,2
Bitlis,2012,Kadın,0,1,0,0,0,0,1,1,0,0,0,0
Hakkari,2012,Erkek,0,7,1,1,0,7,0,40,5,0,0,6
Hakkari,2012,Kadın,0,0,0,0,0,0,0,0,0,0,0,0
Gaziantep,2012,Erkek,199,340,31,16,14,383,35,125,79,0,5,116
Gaziantep,2012,Kadın,3,2,0,0,0,8,1,5,1,0,0,0
Adiyaman,2012,Erkek,19,61,8,2,3,54,10,42,25,0,3,4
Adiyaman,2012,Kadın,2,0,0,0,0,2,0,1,1,0,0,0
Kilis,2012,Erkek,18,49,5,0,5,24,0,17,11,1,1,2
Kilis,2012,Kadın,1,3,0,0,0,0,0,0,0,0,0,0
Sanliurfa,2012,Erkek,121,173,12,4,9,140,24,151,54,2,0,3
Sanliurfa,2012,Kadın,3,2,0,0,1,2,0,2,1,0,0,0
Diyarbakır,2012,Erkek,137,160,11,10,6,195,16,355,45,0,1,219
Diyarbakır,2012,Kadın,0,0,0,0,0,2,0,4,2,0,0,0
Mardin,2012,Erkek,44,49,9,5,1,52,5,39,23,3,1,6
Mardin,2012,Kadın,0,0,1,0,0,2,0,0,0,0,0,0
Batman,2012,Erkek,12,47,1,3,3,63,0,15,13,0,0,2
Batman,2012,Kadın,0,1,0,0,0,6,0,0,0,0,0,0
Sirnak,2012,Erkek,9,11,1,1,1,26,2,16,19,1,0,4
